phone_number,email,credit_score,age_group,family_background,income,property_type,budget,preferred_location,comments,lead_intent
+91-7896414361,eileenjohnson@example.com,334,26-35,Married,1371818,Villa,1077550,Surat,Finalizing options this week,1
+91-8446578647,clayamy@example.org,451,18-25,Single,1526130,Commercial,2935963,Chennai,Please send details,0
+91-405877559,johnnysloan@example.org,370,18-25,Married with Kids,1901670,Apartment,908856,Bangalore,Please send details,1
+91-8583411717,beth81@example.org,533,51+,Married with Kids,1390635,Plot,1188996,Surat,Visit after 2 weeks,1
+91-7120299136,jbell@example.com,679,51+,Married with Kids,1864686,Villa,638403,Ahmedabad,Budget issue,0
+91-778744573,salaskara@example.com,543,18-25,Single,530608,Commercial,811900,Pune,Finalizing options this week,0
+91-4674420102,parkerjennifer@example.org,777,18-25,Single,1864055,Plot,545905,Surat,Not now,1
+91-7684918818,connie81@example.org,746,36-50,Single,1378347,Apartment,1076701,Bangalore,Visit after 2 weeks,1
+91-7255477214,beth58@example.net,445,18-25,Single,700900,Villa,1538805,Bangalore,Immediate possession preferred,1
+91-7343320901,garrett93@example.com,731,26-35,Married with Kids,639262,Apartment,2986742,Surat,Not now,0
+91-448400124,slee@example.com,390,36-50,Married with Kids,1706462,Plot,2658121,Mumbai,Finalizing options this week,1
+91-2132643403,bross@example.net,686,36-50,Married,1622216,Apartment,2286024,Chennai,Interested in investment,1
+91-6409684195,ndiaz@example.com,315,36-50,Single,413272,Plot,2316606,Noida,Interested in investment,0
+91-1825985297,marthaparker@example.com,506,36-50,Single,445555,Apartment,999734,Jaipur,Immediate possession preferred,0
+91-2558148250,jeffrey80@example.net,333,26-35,Married with Kids,1219152,Plot,2330330,Surat,Just exploring,0
+91-7728567537,ryanhenry@example.org,334,18-25,Married,1904241,Plot,1281304,Jaipur,Urgent visit required,1
+91-824584800,fraziertracy@example.com,322,36-50,Married,861764,Apartment,2118854,Jaipur,Budget issue,0
+91-4788809026,johnsoncharles@example.org,648,36-50,Married,579753,Plot,2521160,Noida,Call me ASAP,0
+91-2619026239,kyle04@example.com,592,36-50,Married with Kids,557209,Commercial,1668692,Pune,Urgent visit required,0
+91-9377754757,robertking@example.net,567,51+,Married with Kids,986468,Commercial,1837980,Surat,Call me ASAP,1
+91-4615310712,millermichelle@example.net,642,18-25,Married,612509,Apartment,2603308,Jaipur,Visit after 2 weeks,0
+91-8378454576,mcbridepatrick@example.com,310,26-35,Single,1447778,Apartment,1477859,Jaipur,Just exploring,0
+91-7840542452,collinscourtney@example.net,787,18-25,Married,811112,Plot,754238,Mumbai,Not now,1
+91-4104786472,tina73@example.net,821,36-50,Single,810514,Apartment,1672594,Jaipur,Not now,0
+91-4409905871,kaustin@example.com,391,26-35,Single,1499491,Commercial,2832463,Surat,Call me ASAP,1
+91-5287819589,cwhite@example.net,563,36-50,Married,475027,Villa,2923257,Surat,Looking to move soon,0
+91-7196580685,williamshoward@example.org,304,26-35,Single,1503052,Villa,1507642,Pune,Immediate possession preferred,1
+91-1967392375,rtorres@example.org,399,26-35,Married,1208485,Villa,691846,Hyderabad,Not now,0
+91-4540359611,cbradley@example.org,820,26-35,Married with Kids,1643448,Apartment,1004572,Noida,Just exploring,1
+91-8142421058,christine71@example.net,836,18-25,Married with Kids,440715,Villa,1103130,Jaipur,Finalizing options this week,1
+91-7067816229,robyn79@example.org,582,36-50,Married,1830286,Villa,1015246,Ahmedabad,Finalizing options this week,1
+91-8059264303,hsmith@example.net,713,36-50,Married,1813548,Apartment,1162321,Pune,Urgent visit required,1
+91-5736542221,basssteven@example.com,357,26-35,Married,1316034,Apartment,2058793,Ahmedabad,Finalizing options this week,1
+91-9472988167,jessicahorn@example.org,749,26-35,Single,766330,Apartment,2320187,Delhi,Urgent visit required,1
+91-6812842851,richard88@example.net,335,51+,Married,1912935,Plot,579237,Bangalore,Need loan info,1
+91-269880804,emily73@example.com,814,26-35,Married,1603209,Villa,500553,Surat,Budget issue,1
+91-6446550367,latkins@example.com,503,26-35,Single,1286593,Villa,2251528,Bangalore,Interested in investment,0
+91-3561718844,victoriajenkins@example.com,465,36-50,Married,437112,Apartment,563266,Chennai,Visit after 2 weeks,0
+91-8090464581,jacksonjames@example.com,427,18-25,Single,947033,Plot,2254316,Hyderabad,Not now,0
+91-8050936423,zstokes@example.com,312,51+,Single,976506,Apartment,1392288,Chennai,Just exploring,0
+91-7453279598,yrios@example.com,795,36-50,Married with Kids,890974,Plot,1688670,Bangalore,Urgent visit required,1
+91-6953640094,teresa15@example.com,664,36-50,Married with Kids,1095415,Apartment,2502163,Delhi,Call me ASAP,1
+91-5319804082,umeadows@example.net,710,18-25,Single,627275,Villa,1206456,Bangalore,Immediate possession preferred,1
+91-8744892294,jonhampton@example.org,722,26-35,Married with Kids,1664159,Villa,797111,Surat,Immediate possession preferred,1
+91-6196278650,carolinesmith@example.net,424,26-35,Married,1234607,Plot,1038845,Mumbai,Urgent visit required,1
+91-9762003939,oedwards@example.net,301,26-35,Single,1296041,Plot,1302582,Mumbai,Urgent visit required,1
+91-6973925109,natalie37@example.com,750,26-35,Single,881435,Plot,1197932,Ahmedabad,Immediate possession preferred,1
+91-9791055332,mejiatimothy@example.org,484,18-25,Married,816206,Villa,1716166,Ahmedabad,Just exploring,0
+91-1608884005,jamesferguson@example.com,559,36-50,Married,1140395,Commercial,2750339,Delhi,Immediate possession preferred,1
+91-2492566629,jennifermartinez@example.com,689,36-50,Married with Kids,1721118,Apartment,611420,Mumbai,Need loan info,1
+91-6875536624,theresa80@example.net,736,18-25,Married with Kids,773118,Commercial,1099295,Chennai,Urgent visit required,1
+91-8241197574,wellsstephen@example.org,827,18-25,Married,291037,Plot,1877874,Chennai,Looking to move soon,1
+91-8055097640,belljennifer@example.com,762,26-35,Married with Kids,1226924,Commercial,1794741,Hyderabad,Urgent visit required,1
+91-938121407,mary51@example.org,620,18-25,Single,416607,Plot,2755423,Bangalore,Need loan info,0
+91-3777421722,oward@example.net,776,18-25,Married with Kids,301571,Apartment,2233298,Chennai,Not now,0
+91-6792172515,jamescarter@example.com,576,18-25,Single,1852114,Apartment,765753,Hyderabad,Finalizing options this week,1
+91-6301915771,yadams@example.com,745,26-35,Married,1447581,Commercial,2737190,Noida,Finalizing options this week,1
+91-8004826906,wrightmelissa@example.org,334,26-35,Married,734866,Apartment,972616,Noida,Looking to move soon,1
+91-8175165088,lynnhudson@example.com,837,26-35,Married with Kids,820722,Apartment,2848570,Surat,Visit after 2 weeks,1
+91-1135831237,brooke09@example.com,649,36-50,Married with Kids,686136,Commercial,872173,Mumbai,Finalizing options this week,1
+91-299856594,smithcourtney@example.com,713,36-50,Married,1163981,Villa,989742,Ahmedabad,Call me ASAP,1
+91-4487899936,flemingcaitlyn@example.org,739,18-25,Married,1268013,Villa,1324583,Bangalore,Budget issue,1
+91-5977478491,brittany77@example.net,554,36-50,Single,520502,Commercial,1553829,Hyderabad,Just exploring,0
+91-7017321885,aprilforbes@example.org,461,36-50,Married with Kids,441088,Commercial,1822656,Mumbai,Budget issue,0
+91-1834450124,john57@example.net,445,26-35,Married with Kids,1510032,Plot,1366558,Surat,Just exploring,0
+91-5889279681,nrice@example.com,433,26-35,Married,1268270,Apartment,2777145,Noida,Budget issue,0
+91-5082765198,lopeztanner@example.net,766,18-25,Single,354795,Plot,1271087,Jaipur,Finalizing options this week,1
+91-6562097358,ryan70@example.com,422,36-50,Married,978478,Plot,649312,Bangalore,Please send details,1
+91-8955850524,pughcarol@example.org,452,18-25,Married with Kids,257620,Apartment,812449,Jaipur,Urgent visit required,0
+91-9528047342,andersontravis@example.com,330,26-35,Married with Kids,1104808,Plot,2026937,Bangalore,Visit after 2 weeks,0
+91-2886955525,reginawright@example.com,621,26-35,Married,1593160,Plot,2706426,Hyderabad,Please send details,0
+91-1915101294,sabrina80@example.com,355,36-50,Married,910624,Commercial,909142,Chennai,Just exploring,0
+91-2485839568,burtonkaren@example.net,400,36-50,Married with Kids,898753,Villa,1557910,Jaipur,Looking to move soon,1
+91-1560641623,cardenasjoseph@example.com,737,26-35,Single,300615,Commercial,907324,Chennai,Not now,0
+91-7067314364,rschmidt@example.net,377,26-35,Single,1757491,Apartment,829952,Mumbai,Urgent visit required,1
+91-4161759873,perezzachary@example.com,505,18-25,Married,1001797,Plot,2326618,Mumbai,Looking to move soon,1
+91-1986165272,vspears@example.net,456,36-50,Married,1494712,Plot,1995309,Noida,Interested in investment,1
+91-9812919102,parrishnatalie@example.net,430,26-35,Single,800580,Plot,1709868,Delhi,Just exploring,0
+91-4850290302,williemendez@example.org,775,18-25,Married,1551509,Apartment,1174499,Pune,Looking to move soon,1
+91-2173468529,qlara@example.org,400,36-50,Married,1899996,Villa,1258437,Ahmedabad,Need loan info,1
+91-4650191533,umanning@example.net,461,18-25,Married,436303,Villa,915796,Bangalore,Interested in investment,0
+91-7853904311,victoria08@example.net,321,36-50,Married,547048,Plot,2181719,Surat,Just exploring,0
+91-8164733135,andrewforbes@example.net,493,26-35,Married with Kids,1880435,Apartment,1211242,Ahmedabad,Budget issue,0
+91-4439597404,ryan52@example.com,499,36-50,Married,836847,Apartment,2794336,Bangalore,Just exploring,0
+91-3355391265,paulerik@example.net,307,51+,Married with Kids,883935,Villa,1114840,Jaipur,Urgent visit required,1
+91-9149691641,ojames@example.org,603,18-25,Single,1232223,Commercial,2148056,Bangalore,Visit after 2 weeks,0
+91-5351046963,agomez@example.org,510,18-25,Single,1606346,Plot,1156410,Noida,Urgent visit required,1
+91-4421031509,prattjoshua@example.org,428,26-35,Single,948624,Commercial,2811466,Chennai,Budget issue,0
+91-3454487559,kclark@example.org,759,26-35,Married,1455410,Villa,2363839,Ahmedabad,Finalizing options this week,1
+91-504551316,jason85@example.org,566,26-35,Married with Kids,859822,Apartment,976073,Delhi,Need loan info,1
+91-4389420705,jamesbeck@example.net,662,36-50,Married with Kids,342109,Commercial,987163,Noida,Urgent visit required,0
+91-9191365324,changheather@example.com,798,26-35,Single,894399,Villa,1987813,Noida,Not now,0
+91-3902259654,allison10@example.net,683,26-35,Single,609654,Villa,902403,Chennai,Immediate possession preferred,1
+91-4156255272,kenneth47@example.org,374,26-35,Married,1760862,Commercial,898948,Delhi,Looking to move soon,1
+91-5836498000,ngreene@example.net,384,51+,Single,1979929,Commercial,1636574,Noida,Looking to move soon,1
+91-4940762586,danielle53@example.net,612,18-25,Single,1815669,Plot,1937337,Mumbai,Finalizing options this week,1
+91-3564252545,michele82@example.com,819,51+,Married,976337,Commercial,1485354,Mumbai,Need loan info,1
+91-2914097819,samuelhill@example.org,499,26-35,Married,1951911,Apartment,802828,Pune,Visit after 2 weeks,1
+91-6815604345,gordonjack@example.com,834,18-25,Married,881373,Apartment,1428073,Bangalore,Not now,0
+91-3108772304,rebecca90@example.org,451,36-50,Single,1005369,Commercial,2948240,Pune,Interested in investment,0
+91-2204615377,nluna@example.com,584,51+,Single,1298982,Commercial,1025294,Jaipur,Please send details,1
+91-7924068862,judy76@example.org,309,36-50,Single,1621594,Villa,1326116,Hyderabad,Budget issue,0
+91-1454207936,william49@example.net,833,26-35,Single,1691967,Commercial,2564129,Delhi,Please send details,1
+91-9987260035,dixonderek@example.com,520,18-25,Married,436667,Plot,894066,Ahmedabad,Budget issue,0
+91-5532376761,blake50@example.com,365,18-25,Married,693144,Commercial,949828,Surat,Finalizing options this week,1
+91-8290493116,kristen93@example.com,662,26-35,Married,1202203,Commercial,672037,Hyderabad,Call me ASAP,1
+91-7992688065,trevinowilliam@example.net,339,26-35,Married,329235,Commercial,2142529,Bangalore,Urgent visit required,0
+91-9165908274,seanparsons@example.com,794,18-25,Married,1775389,Plot,1236114,Jaipur,Visit after 2 weeks,1
+91-7887124537,rpeck@example.com,796,26-35,Married,1679699,Villa,2795384,Chennai,Urgent visit required,1
+91-5067716355,natasha12@example.org,756,36-50,Married with Kids,1630126,Villa,1384242,Mumbai,Please send details,1
+91-6503930791,melissadoyle@example.org,810,36-50,Single,341023,Villa,1708520,Noida,Looking to move soon,1
+91-165517230,sbrown@example.com,643,36-50,Married,958067,Plot,1936058,Hyderabad,Please send details,0
+91-8129115990,amy49@example.net,493,36-50,Married,1400594,Plot,2690421,Bangalore,Just exploring,0
+91-7461267000,umosley@example.org,405,26-35,Married,1723233,Apartment,1220383,Pune,Need loan info,1
+91-6169191762,jameselliott@example.com,335,51+,Married,468562,Villa,857290,Jaipur,Just exploring,0
+91-2098430604,markwillis@example.com,765,26-35,Married with Kids,1000230,Apartment,2672199,Delhi,Looking to move soon,1
+91-3872505234,kimberlyjordan@example.com,544,26-35,Single,815272,Apartment,746398,Delhi,Please send details,1
+91-3398327580,yturner@example.org,675,18-25,Married with Kids,1561315,Commercial,2714522,Mumbai,Need loan info,0
+91-4233678114,ehernandez@example.com,801,26-35,Single,638055,Commercial,2693764,Hyderabad,Looking to move soon,1
+91-1548107489,mcmahonlisa@example.org,799,18-25,Single,1991470,Villa,1809065,Chennai,Urgent visit required,1
+91-5162371427,crawfordsarah@example.org,418,26-35,Single,478885,Apartment,2069524,Noida,Interested in investment,0
+91-4534979362,susan58@example.org,559,26-35,Married with Kids,831724,Villa,1343761,Ahmedabad,Immediate possession preferred,1
+91-7689304607,michael55@example.com,382,26-35,Married,1745173,Apartment,726601,Pune,Not now,0
+91-3442073207,colemanangela@example.net,353,36-50,Single,1403558,Plot,934495,Bangalore,Budget issue,0
+91-922084911,laura76@example.com,375,26-35,Married,959859,Commercial,2750851,Surat,Please send details,0
+91-2186029440,katherine49@example.org,599,51+,Married with Kids,448952,Apartment,741685,Pune,Please send details,0
+91-8718651715,dmalone@example.com,503,18-25,Single,745792,Plot,1833337,Ahmedabad,Finalizing options this week,1
+91-862957910,vdavis@example.net,533,18-25,Married with Kids,466950,Plot,1875412,Noida,Not now,0
+91-681506405,oaguilar@example.com,423,36-50,Married with Kids,348860,Apartment,1078213,Jaipur,Need loan info,0
+91-6682917607,osbornechristina@example.org,407,26-35,Married,581733,Plot,1291904,Jaipur,Interested in investment,0
+91-3738083832,kjohnson@example.net,795,26-35,Married,1294955,Apartment,1664189,Pune,Budget issue,1
+91-6641400954,pettyarthur@example.com,466,26-35,Single,1115494,Villa,1063990,Jaipur,Visit after 2 weeks,1
+91-2370254777,davismike@example.org,808,26-35,Married,834878,Apartment,2509703,Ahmedabad,Just exploring,0
+91-743937943,richardwilliams@example.net,427,18-25,Married with Kids,816523,Commercial,1971529,Delhi,Budget issue,0
+91-3041534656,jasmineshepard@example.com,646,26-35,Married,612701,Apartment,1786819,Ahmedabad,Not now,0
+91-5338617605,lopezaaron@example.net,382,18-25,Married with Kids,515382,Plot,2897015,Mumbai,Looking to move soon,0
+91-3820260557,pstone@example.org,606,36-50,Single,1869598,Apartment,1525303,Jaipur,Visit after 2 weeks,1
+91-2641139705,justin78@example.org,344,18-25,Single,926349,Commercial,1935999,Hyderabad,Visit after 2 weeks,0
+91-6239753308,rwright@example.org,786,18-25,Married,1431871,Apartment,1798693,Chennai,Immediate possession preferred,1
+91-3174617506,kerrylyons@example.org,802,26-35,Married,1392783,Villa,1198819,Delhi,Urgent visit required,1
+91-1262489229,egraham@example.com,526,18-25,Married with Kids,1746054,Villa,2923532,Chennai,Looking to move soon,1
+91-9229452202,bparker@example.com,363,26-35,Married,1346287,Apartment,2368243,Chennai,Budget issue,0
+91-2400050191,kathleengreene@example.com,703,18-25,Married,1141066,Plot,691440,Hyderabad,Not now,1
+91-1745754214,pwheeler@example.com,436,36-50,Married,520006,Villa,1266631,Pune,Looking to move soon,0
+91-2226009278,twallace@example.com,685,26-35,Single,872515,Plot,2285005,Jaipur,Need loan info,0
+91-5019806325,qfox@example.org,817,18-25,Single,608251,Apartment,864566,Hyderabad,Visit after 2 weeks,1
+91-8374639009,nochoa@example.net,759,18-25,Single,1364057,Villa,2937342,Chennai,Finalizing options this week,1
+91-1438639839,patrickmark@example.com,361,36-50,Single,1400476,Plot,2031008,Jaipur,Immediate possession preferred,1
+91-6027451288,jamesramirez@example.org,844,18-25,Married with Kids,1017929,Commercial,2353782,Jaipur,Just exploring,0
+91-6986216442,bradfordsheila@example.com,498,36-50,Married,1203794,Plot,1043506,Pune,Please send details,1
+91-5963995705,zcontreras@example.net,681,26-35,Married,1100936,Apartment,1172864,Pune,Please send details,1
+91-3854193895,maryray@example.org,532,18-25,Married,1663619,Plot,2202174,Jaipur,Please send details,1
+91-9633582561,josephcastro@example.org,371,36-50,Married,1358132,Villa,2326325,Bangalore,Not now,0
+91-225281867,fclark@example.net,332,36-50,Married with Kids,1431707,Apartment,1145658,Bangalore,Interested in investment,1
+91-1158960075,elowe@example.org,653,18-25,Married with Kids,1145409,Commercial,1894849,Noida,Finalizing options this week,1
+91-6505505964,tgillespie@example.net,346,18-25,Single,954701,Plot,1300993,Bangalore,Looking to move soon,1
+91-8433860822,dmason@example.com,708,26-35,Married,786385,Commercial,2999419,Chennai,Need loan info,1
+91-7676066872,breanna57@example.net,843,18-25,Single,1455301,Apartment,905370,Noida,Please send details,1
+91-8507891636,jshaw@example.net,422,51+,Married with Kids,788252,Plot,862171,Jaipur,Urgent visit required,1
+91-9143857,matthew26@example.net,787,26-35,Single,1606967,Plot,711707,Jaipur,Please send details,1
+91-7510226632,qgreen@example.net,547,36-50,Married,491920,Apartment,2654458,Pune,Just exploring,0
+91-1133732454,ksexton@example.com,838,36-50,Married with Kids,1452090,Apartment,2045499,Chennai,Interested in investment,1
+91-4451394155,brodriguez@example.com,850,26-35,Married,1299222,Apartment,871568,Chennai,Budget issue,1
+91-1087463448,brownedward@example.net,499,51+,Married with Kids,798889,Commercial,2442974,Bangalore,Not now,0
+91-6485836860,twright@example.org,495,18-25,Married,1375257,Apartment,1036036,Bangalore,Call me ASAP,1
+91-8012084835,brentnguyen@example.net,684,36-50,Married,409873,Apartment,1608598,Surat,Please send details,0
+91-2467196165,emily05@example.com,485,26-35,Married,1349257,Plot,2346009,Bangalore,Budget issue,0
+91-435001664,lesliephelps@example.com,720,51+,Single,1357231,Commercial,2064648,Noida,Immediate possession preferred,1
+91-8803231586,garrettvanessa@example.org,570,18-25,Married with Kids,957902,Apartment,2004331,Jaipur,Immediate possession preferred,1
+91-3577517352,anolan@example.net,313,26-35,Married with Kids,1524613,Villa,2383766,Mumbai,Immediate possession preferred,1
+91-4273935989,melissapowers@example.net,765,36-50,Married,1859551,Villa,1217012,Mumbai,Urgent visit required,1
+91-3078050535,david38@example.org,763,36-50,Married with Kids,1899659,Plot,1443445,Surat,Budget issue,1
+91-4301683919,morajulie@example.net,351,36-50,Married with Kids,1123782,Villa,1387661,Mumbai,Urgent visit required,1
+91-8922452002,xwilliams@example.org,346,26-35,Single,1864277,Plot,542106,Surat,Need loan info,1
+91-9135007389,ricemichael@example.net,738,36-50,Married with Kids,1699403,Villa,1739000,Ahmedabad,Urgent visit required,1
+91-8239051626,mcox@example.org,528,26-35,Single,478738,Commercial,1001036,Ahmedabad,Not now,0
+91-4864933145,warnermichael@example.net,518,26-35,Single,1818715,Plot,2896224,Ahmedabad,Not now,0
+91-1843462194,phamjason@example.net,529,36-50,Married with Kids,371999,Apartment,1785545,Delhi,Interested in investment,0
+91-3528878573,collinsmichelle@example.net,495,18-25,Married,922482,Plot,662571,Noida,Just exploring,0
+91-6373645592,david06@example.org,500,26-35,Married,502741,Apartment,2871653,Ahmedabad,Immediate possession preferred,0
+91-8636489983,pennygood@example.org,343,36-50,Married,1257525,Villa,731496,Surat,Please send details,1
+91-6819007822,matthew37@example.org,766,18-25,Married with Kids,251809,Apartment,1044638,Hyderabad,Visit after 2 weeks,0
+91-1919899052,bradleysanchez@example.net,704,36-50,Married with Kids,1635010,Apartment,2883672,Jaipur,Looking to move soon,1
+91-4837245388,john12@example.com,626,36-50,Married with Kids,612016,Villa,1791237,Bangalore,Please send details,0
+91-6120264303,raymond02@example.org,510,51+,Single,1328873,Commercial,2524652,Bangalore,Not now,0
+91-5159313645,strongtammy@example.com,477,26-35,Single,1145110,Commercial,2381757,Chennai,Urgent visit required,1
+91-2191260289,qfarmer@example.com,619,36-50,Single,1798152,Commercial,2663997,Bangalore,Just exploring,0
+91-5694539284,edward72@example.org,394,36-50,Married with Kids,1654758,Plot,2940279,Surat,Not now,0
+91-2896749988,esoto@example.net,322,18-25,Married,694908,Plot,2467336,Jaipur,Call me ASAP,1
+91-246716110,hramsey@example.org,837,26-35,Married,1728261,Villa,1997468,Mumbai,Urgent visit required,1
+91-8418841919,cpierce@example.com,578,18-25,Married,966542,Plot,1253497,Chennai,Not now,0
+91-2486989235,steven11@example.org,437,18-25,Single,775254,Plot,1363143,Mumbai,Budget issue,0
+91-8947400829,atkinsonshawn@example.net,666,36-50,Married with Kids,938389,Villa,1309009,Pune,Looking to move soon,1
+91-2571947962,teresadiaz@example.org,820,36-50,Married with Kids,402484,Apartment,1554189,Delhi,Not now,0
+91-993625420,joseph49@example.net,767,26-35,Single,1467559,Commercial,566599,Bangalore,Urgent visit required,1
+91-8034289541,thomas07@example.net,842,26-35,Married,1067908,Commercial,1061629,Noida,Not now,1
+91-1274746271,michellemccarthy@example.org,704,18-25,Married,1314194,Apartment,1275813,Surat,Looking to move soon,1
+91-137727644,gregory46@example.net,623,26-35,Married,1001750,Plot,2783992,Delhi,Budget issue,0
+91-9063965045,thomasaustin@example.org,637,18-25,Married,1185617,Apartment,596810,Jaipur,Not now,0
+91-4573252188,amy05@example.org,745,51+,Married,1898527,Plot,1156932,Bangalore,Urgent visit required,1
+91-8804268838,jamesmyers@example.com,546,36-50,Married,1866977,Villa,1416408,Bangalore,Interested in investment,1
+91-3107000778,tinaharris@example.org,332,26-35,Single,1286455,Villa,1919421,Surat,Please send details,1
+91-4322941235,xerickson@example.net,409,36-50,Single,738105,Commercial,2259274,Pune,Immediate possession preferred,1
+91-1299893526,dhaynes@example.org,304,36-50,Married,1701844,Villa,2124473,Noida,Immediate possession preferred,1
+91-1210357681,qwise@example.org,515,36-50,Single,717873,Commercial,627510,Mumbai,Visit after 2 weeks,1
+91-1928325698,codyford@example.net,394,51+,Married,1853648,Apartment,1458389,Ahmedabad,Not now,0
+91-5452695045,rodriguezivan@example.net,785,36-50,Married,1701061,Apartment,1975947,Mumbai,Call me ASAP,1
+91-2673183664,michelleknapp@example.net,715,26-35,Married,1017158,Villa,2978938,Mumbai,Urgent visit required,1
+91-7494073900,colemary@example.net,726,36-50,Married with Kids,1565171,Commercial,1972557,Jaipur,Just exploring,1
+91-5901766183,gibsoncassie@example.com,684,36-50,Single,483316,Commercial,823351,Ahmedabad,Visit after 2 weeks,0
+91-4453065610,snyderjodi@example.net,487,26-35,Married with Kids,784467,Commercial,847943,Surat,Visit after 2 weeks,1
+91-1026410321,pollardgina@example.net,449,36-50,Married,663908,Commercial,2777641,Noida,Immediate possession preferred,1
+91-812627108,freemanjason@example.com,355,26-35,Married,711440,Plot,1260218,Pune,Budget issue,0
+91-9824833929,mjohnson@example.net,625,51+,Married with Kids,1738088,Apartment,1073120,Ahmedabad,Not now,0
+91-7802329512,bradley54@example.com,848,26-35,Married with Kids,553827,Commercial,948991,Hyderabad,Call me ASAP,1
+91-3556381817,ashley57@example.org,531,36-50,Married,1732362,Plot,2292485,Jaipur,Urgent visit required,1
+91-7146597223,ahancock@example.net,660,18-25,Married,1972890,Apartment,2483854,Hyderabad,Please send details,1
+91-5415780814,mollyharrison@example.net,802,36-50,Married,723694,Apartment,1123048,Delhi,Please send details,1
+91-5670808189,denisegriffith@example.com,418,36-50,Single,1776893,Villa,2610934,Noida,Call me ASAP,1
+91-9065213304,robertwolf@example.net,379,36-50,Single,1673177,Apartment,727579,Surat,Finalizing options this week,1
+91-7119544038,martinezryan@example.org,758,18-25,Married,1727880,Commercial,878876,Noida,Immediate possession preferred,1
+91-3176144813,fritzolivia@example.org,483,36-50,Single,466673,Villa,2974537,Chennai,Looking to move soon,0
+91-8603797734,lawrencemegan@example.org,412,18-25,Married,310805,Plot,2795364,Hyderabad,Interested in investment,0
+91-8878741651,mwilliams@example.org,355,36-50,Married with Kids,1610415,Plot,1185814,Delhi,Not now,0
+91-9311868949,coopermegan@example.net,685,36-50,Married with Kids,736536,Villa,1749796,Jaipur,Visit after 2 weeks,0
+91-6545026818,fmorrow@example.org,757,36-50,Married with Kids,1138285,Plot,1209434,Delhi,Just exploring,1
+91-4658436786,yanderson@example.net,492,18-25,Married,1139340,Apartment,2430921,Pune,Just exploring,0
+91-4118220866,hartronald@example.net,520,36-50,Married with Kids,917244,Villa,2785275,Pune,Interested in investment,0
+91-6018246549,fjohnson@example.com,813,26-35,Married,1987600,Apartment,725319,Jaipur,Budget issue,1
+91-9458722079,suzanne56@example.net,366,26-35,Married,1414412,Commercial,2192645,Surat,Please send details,0
+91-2945689118,edwardgomez@example.org,312,18-25,Married,830128,Commercial,2879813,Jaipur,Urgent visit required,1
+91-4170131415,richard97@example.com,687,26-35,Single,690449,Apartment,2009093,Ahmedabad,Just exploring,0
+91-2619120223,brady75@example.org,454,36-50,Single,1400961,Villa,2628155,Bangalore,Just exploring,0
+91-6117818992,natasha86@example.net,833,26-35,Married,364353,Commercial,1736192,Ahmedabad,Urgent visit required,1
+91-2031019917,amber82@example.net,638,51+,Married with Kids,297090,Plot,2447165,Mumbai,Budget issue,0
+91-4780322855,cbaker@example.com,778,26-35,Married with Kids,677045,Apartment,1772206,Chennai,Just exploring,0
+91-6438697556,nathanielmercer@example.net,454,36-50,Single,1940702,Commercial,2303864,Bangalore,Please send details,1
+91-8354241179,javier35@example.com,619,51+,Married,1033898,Plot,684410,Chennai,Budget issue,0
+91-6830091801,thompsonduane@example.org,544,26-35,Single,939511,Commercial,1012486,Noida,Please send details,1
+91-3617880289,bryanjames@example.com,757,26-35,Married with Kids,1213358,Apartment,2316996,Bangalore,Looking to move soon,1
+91-2482189969,patrickhenry@example.net,398,26-35,Married with Kids,362400,Apartment,1747073,Ahmedabad,Not now,0
+91-8972387275,khayden@example.org,386,51+,Married with Kids,1795065,Apartment,2133713,Delhi,Finalizing options this week,1
+91-5200427430,erikalewis@example.org,573,36-50,Single,1051306,Plot,2693833,Hyderabad,Urgent visit required,1
+91-6679159696,benjamindavidson@example.net,847,26-35,Single,1892950,Commercial,2829494,Jaipur,Visit after 2 weeks,1
+91-9159467389,pbrooks@example.com,464,36-50,Married,393276,Plot,1248280,Pune,Looking to move soon,0
+91-7916065644,rodneyjackson@example.org,780,26-35,Single,1216075,Apartment,2004597,Pune,Looking to move soon,1
+91-6403623109,hgordon@example.org,754,26-35,Single,1669331,Apartment,1884123,Jaipur,Immediate possession preferred,1
+91-2398870360,qgarza@example.net,658,36-50,Married,360802,Apartment,1272725,Ahmedabad,Immediate possession preferred,0
+91-5140937846,david39@example.org,473,36-50,Single,1855689,Villa,1453543,Chennai,Finalizing options this week,1
+91-3438737904,bethmiller@example.net,448,18-25,Single,881465,Villa,2753044,Mumbai,Interested in investment,0
+91-6148251964,mcguireashley@example.com,575,36-50,Single,670369,Commercial,1502924,Chennai,Urgent visit required,1
+91-6182077478,stewarttammy@example.net,798,51+,Single,1053049,Commercial,706411,Surat,Looking to move soon,1
+91-7130361837,knorman@example.org,605,36-50,Married with Kids,1540163,Commercial,2637126,Hyderabad,Need loan info,0
+91-6264983500,charlesmartinez@example.com,732,26-35,Married,1985510,Plot,2874713,Delhi,Visit after 2 weeks,1
+91-5204138490,jamie38@example.net,669,18-25,Single,1213510,Apartment,1185435,Delhi,Need loan info,1
+91-328528151,troy09@example.org,418,26-35,Married with Kids,1882942,Apartment,1887685,Bangalore,Need loan info,1
+91-1973225056,montgomeryzachary@example.net,682,26-35,Married,504313,Commercial,1551175,Noida,Please send details,0
